jahr,Furttal,Glattal,Knonaueramt,Limmattal,Oberland,Pfannenstiel,Unterland,Weinland,Winterthur u. Umg.,Zimmerberg,Zürich,Kanton Zürich
2002,100,100,100,100,100,100,100,100,100,100,100,100
2003,100.8561644,98.96013865,100,99.26739927,100.1941748,99.81583794,100,101.4981273,100,99.60629921,97.97468354,99.5959596
2004,101.369863,99.48006932,101.7475728,99.45054945,101.3592233,100.5524862,101.7825312,102.6217228,101.0683761,100.7874016,97.97468354,100.4040404
2005,101.369863,99.48006932,102.3300971,99.26739927,101.9417476,100.7366483,102.1390374,103.3707865,100.6410256,100.7874016,96.96202532,100.2020202
2006,100.6849315,98.96013865,103.3009709,98.9010989,102.5242718,101.2891344,103.030303,104.8689139,100.8547009,100.7874016,95.94936709,100.4040404
2007,100.8561644,99.3067591,103.8834951,98.9010989,102.5242718,101.6574586,103.2085561,105.8052434,101.2820513,100.984252,95.94936709,100.6060606
2008,101.369863,98.6135182,103.3009709,97.98534799,102.5242718,100.9208103,103.030303,103.3707865,100.8547009,100.1968504,93.67088608,99.7979798
2009,100.1712329,97.40034662,103.6893204,96.7032967,102.1359223,100,102.3172906,103.3707865,100.6410256,99.21259843,91.64556962,98.78787879
2010,100.8561644,96.70710572,104.0776699,97.06959707,103.1067961,100.3683241,102.6737968,103.5580524,100.8547009,99.01574803,90.37974684,98.78787879
2011,101.0273973,96.18717504,104.6601942,97.8021978,104.2718447,100,102.8520499,105.2434457,100.8547009,99.40944882,89.11392405,98.58585859
2012,103.5958904,97.57365685,106.7961165,100.3663004,105.8252427,101.2891344,104.0998217,106.928839,102.1367521,100.1968504,90.63291139,98.98989899
2013,103.0821918,97.74696707,106.9902913,100.5494505,105.8252427,101.4732965,104.9910873,108.988764,102.5641026,100.5905512,89.87341772,99.19191919
2014,102.5684932,97.05372617,107.184466,100.3663004,105.631068,101.2891344,104.9910873,108.2397004,102.1367521,100.1968504,88.86075949,98.78787879
2015,104.9657534,96.53379549,108.1553398,99.63369963,106.6019417,101.2891344,105.8823529,108.0524345,102.3504274,100.1968504,88.10126582,98.78787879
2016,105.1369863,95.66724437,107.961165,97.98534799,106.9902913,101.1049724,106.4171123,108.4269663,102.3504274,99.80314961,87.08860759,98.38383838
2017,105.3082192,94.80069324,107.3786408,97.06959707,106.6019417,100.5524862,106.2388592,108.8014981,101.9230769,99.21259843,86.07594937,97.77777778
2018,105.3082192,94.45407279,107.184466,96.52014652,106.6019417,100.1841621,105.5258467,108.2397004,101.0683761,98.62204724,84.81012658,96.96969697
2019,105.1369863,94.10745234,106.0194175,96.15384615,106.6019417,99.81583794,104.9910873,108.2397004,100.4273504,97.83464567,82.27848101,96.16161616